archivo,fecha,direccion_grados,velocidad_kmxh
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/23-03-2023.png,23/03/2023,190,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/24-03-2023.png,24/03/2023,225,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/25-03-2023.png,25/03/2023,235,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/26-03-2023.png,26/03/2023,240,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/27-03-2023.png,27/03/2023,240,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/28-03-2023.png,28/03/2023,225,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/29-03-2023.png,29/03/2023,95,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/30-03-2023.png,30/03/2023,160,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/31-03-2023.png,31/03/2023,225,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/01-04-2023.png,01/04/2023,210,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/02-04-2023.png,02/04/2023,220,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/03-04-2023.png,03/04/2023,225,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/04-04-2023.png,04/04/2023,230,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/05-04-2023.png,05/04/2023,230,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/06-04-2023.png,06/04/2023,220,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/07-04-2023.png,07/04/2023,200,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/08-04-2023.png,08/04/2023,190,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/09-04-2023.png,09/04/2023,125,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/10-04-2023.png,10/04/2023,105,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/11-04-2023.png,11/04/2023,85,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/12-04-2023.png,12/04/2023,210,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/13-04-2023.png,13/04/2023,225,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/14-04-2023.png,14/04/2023,225,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/15-04-2023.png,15/04/2023,245,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/16-04-2023.png,16/04/2023,80,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/17-04-2023.png,17/04/2023,95,14
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/18-04-2023.png,18/04/2023,230,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/19-04-2023.png,19/04/2023,230,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/20-04-2023.png,20/04/2023,220,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/21-04-2023.png,21/04/2023,250,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/22-04-2023.png,22/04/2023,205,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/23-04-2023.png,23/04/2023,235,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/24-04-2023.png,24/04/2023,225,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/25-04-2023.png,25/04/2023,240,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/26-04-2023.png,26/04/2023,230,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/27-04-2023.png,27/04/2023,225,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/28-04-2023.png,28/04/2023,240,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/29-04-2023.png,29/04/2023,230,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/4. Abril/30-04-2023.png,30/04/2023,160,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/01-05-2023.png,01/05/2023,225,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/02-05-2023.png,02/05/2023,235,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/03-05-2023.png,03/05/2023,220,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/04-05-2023.png,04/05/2023,210,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/05-05-2023.png,05/05/2023,200,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/06-05-2023.png,06/05/2023,140,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/07-05-2023.png,07/05/2023,180,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/08-05-2023.png,08/05/2023,225,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/09-05-2023.png,09/05/2023,220,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/10-05-2023.png,10/05/2023,235,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/11-05-2023.png,11/05/2023,245,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/12-05-2023.png,12/05/2023,230,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/13-05-2023.png,13/05/2023,210,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/14-05-2023.png,14/05/2023,175,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/15-05-2023.png,15/05/2023,140,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/16-05-2023.png,16/05/2023,225,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/17-05-2023.png,17/05/2023,235,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/18-05-2023.png,18/05/2023,235,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/19-05-2023.png,19/05/2023,245,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/20-05-2023.png,20/05/2023,170,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/21-05-2023.png,21/05/2023,75,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/22-05-2023.png,22/05/2023,180,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/23-05-2023.png,23/05/2023,225,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/24-05-2023.png,24/05/2023,220,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/25-05-2023.png,25/05/2023,220,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/26-05-2023.png,26/05/2023,220,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/27-05-2023.png,27/05/2023,190,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/28-05-2023.png,28/05/2023,225,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/29-05-2023.png,29/05/2023,235,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/30-05-2023.png,30/05/2023,235,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/5. Mayo/31-05-2023.png,31/05/2023,230,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/01-06-2023.png,01/06/2023,240,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/02-06-2023.png,02/06/2023,245,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/03-06-2023.png,03/06/2023,255,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/04-06-2023.png,04/06/2023,220,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/05-06-2023.png,05/06/2023,215,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/06-06-2023.png,06/06/2023,245,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/07-06-2023.png,07/06/2023,235,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/08-06-2023.png,08/06/2023,220,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/09-06-2023.png,09/06/2023,225,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/10-06-2023.png,10/06/2023,240,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/11-06-2023.png,11/06/2023,240,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/12-06-2023.png,12/06/2023,235,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/13-06-2023.png,13/06/2023,305,0
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/14-06-2023.png,14/06/2023,210,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/15-06-2023.png,15/06/2023,230,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/16-06-2023.png,16/06/2023,235,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/17-06-2023.png,17/06/2023,145,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/18-06-2023.png,18/06/2023,90,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/19-06-2023.png,19/06/2023,165,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/20-06-2023.png,20/06/2023,210,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/21-06-2023.png,21/06/2023,225,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/22-06-2023.png,22/06/2023,230,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/23-06-2023.png,23/06/2023,70,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/24-06-2023.png,24/06/2023,60,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/25-06-2023.png,25/06/2023,75,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/26-06-2023.png,26/06/2023,90,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/27-06-2023.png,27/06/2023,80,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/28-06-2023.png,28/06/2023,95,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/29-06-2023.png,29/06/2023,50,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/6. Junio/30-06-2023.png,30/06/2023,160,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/01-07-2023.png,01/07/2023,230,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/02-07-2023.png,02/07/2023,240,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/03-07-2023.png,03/07/2023,220,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/04-07-2023.png,04/07/2023,215,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/05-07-2023.png,05/07/2023,245,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/06-07-2023.png,06/07/2023,230,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/07-07-2023.png,07/07/2023,200,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/08-07-2023.png,08/07/2023,210,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/09-07-2023.png,09/07/2023,230,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/10-07-2023.png,10/07/2023,210,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/11-07-2023.png,11/07/2023,125,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/12-07-2023.png,12/07/2023,250,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/13-07-2023.png,13/07/2023,105,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/14-07-2023.png,14/07/2023,105,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/15-07-2023.png,15/07/2023,90,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/16-07-2023.png,16/07/2023,75,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/17-07-2023.png,17/07/2023,95,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/18-07-2023.png,18/07/2023,70,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/19-07-2023.png,19/07/2023,70,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/20-07-2023.png,20/07/2023,65,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/21-07-2023.png,21/07/2023,75,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/22-07-2023.png,22/07/2023,100,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/23-07-2023.png,23/07/2023,200,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/24-07-2023.png,24/07/2023,20,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/25-07-2023.png,25/07/2023,80,16
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/26-07-2023.png,26/07/2023,85,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/27-07-2023.png,27/07/2023,80,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/28-07-2023.png,28/07/2023,60,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/29-07-2023.png,29/07/2023,75,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/30-07-2023.png,30/07/2023,25,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/7. Julio/31-07-2023.png,31/07/2023,55,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/01-08-2023.png,01/08/2023,135,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/02-08-2023.png,02/08/2023,55,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/03-08-2023.png,03/08/2023,90,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/04-08-2023.png,04/08/2023,135,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/05-08-2023.png,05/08/2023,240,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/06-08-2023.png,06/08/2023,255,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/07-08-2023.png,07/08/2023,155,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/08-08-2023.png,08/08/2023,165,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/09-08-2023.png,09/08/2023,225,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/10-08-2023.png,10/08/2023,240,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/11-08-2023.png,11/08/2023,235,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/12-08-2023.png,12/08/2023,275,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/13-08-2023.png,13/08/2023,65,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/14-08-2023.png,14/08/2023,60,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/15-08-2023.png,15/08/2023,60,15
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/16-08-2023.png,16/08/2023,70,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/17-08-2023.png,17/08/2023,125,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/18-08-2023.png,18/08/2023,210,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/19-08-2023.png,19/08/2023,90,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/20-08-2023.png,20/08/2023,70,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/21-08-2023.png,21/08/2023,50,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/22-08-2023.png,22/08/2023,70,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/23-08-2023.png,23/08/2023,70,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/24-08-2023.png,24/08/2023,65,13
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/25-08-2023.png,25/08/2023,65,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/26-08-2023.png,26/08/2023,245,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/27-08-2023.png,27/08/2023,215,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/28-08-2023.png,28/08/2023,200,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/29-08-2023.png,29/08/2023,270,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/30-08-2023.png,30/08/2023,230,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/8. Agosto/31-08-2023.png,31/08/2023,245,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/01-09-2023.png,01/09/2023,225,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/02-09-2023.png,02/09/2023,360,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/03-09-2023.png,03/09/2023,70,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/04-09-2023.png,04/09/2023,200,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/05-09-2023.png,05/09/2023,245,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/06-09-2023.png,06/09/2023,255,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/07-09-2023.png,07/09/2023,230,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/08-09-2023.png,08/09/2023,135,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/09-09-2023.png,09/09/2023,85,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/10-09-2023.png,10/09/2023,50,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/11-09-2023.png,11/09/2023,55,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/12-09-2023.png,12/09/2023,70,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/13-09-2023.png,13/09/2023,55,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/14-09-2023.png,14/09/2023,5,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/9. Septiembre/15-09-2023.png,15/09/2023,75,6
