archivo,fecha,direccion_grados,velocidad_kmxh
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/10-10-2023.png,10/10/2023,220,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/11-10-2023.png,11/10/2023,210,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/12-10-2023.png,12/10/2023,245,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/13-10-2023.png,13/10/2023,255,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/14-10-2023.png,14/10/2023,70,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/15-10-2023.png,15/10/2023,60,15
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/16-10-2023.png,16/10/2023,55,21
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/17-10-2023.png,17/10/2023,80,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/18-10-2023.png,18/10/2023,100,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/19-10-2023.png,19/10/2023,195,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/20-10-2023.png,20/10/2023,125,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/21-10-2023.png,21/10/2023,210,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/22-10-2023.png,22/10/2023,230,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/23-10-2023.png,23/10/2023,240,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/24-10-2023.png,24/10/2023,145,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/25-10-2023.png,25/10/2023,235,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/26-10-2023.png,26/10/2023,170,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/27-10-2023.png,27/10/2023,95,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/28-10-2023.png,28/10/2023,80,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/29-10-2023.png,29/10/2023,85,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/30-10-2023.png,30/10/2023,70,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/10. Octubre/31-10-2023.png,31/10/2023,85,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/01-11-2023.png,01/11/2023,70,13
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/02-11-2023.png,02/11/2023,100,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/03-11-2023.png,03/11/2023,85,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/04-11-2023.png,04/11/2023,75,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/05-11-2023.png,05/11/2023,65,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/06-11-2023.png,06/11/2023,110,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/07-11-2023.png,07/11/2023,125,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/08-11-2023.png,08/11/2023,205,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/09-11-2023.png,09/11/2023,245,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/10-11-2023.png,10/11/2023,135,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/11-11-2023.png,11/11/2023,85,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/12-11-2023.png,12/11/2023,60,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/13-11-2023.png,13/11/2023,75,14
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/14-11-2023.png,14/11/2023,65,13
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/15-11-2023.png,15/11/2023,75,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/16-11-2023.png,16/11/2023,65,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/17-11-2023.png,17/11/2023,255,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/18-11-2023.png,18/11/2023,340,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/19-11-2023.png,19/11/2023,225,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/20-11-2023.png,20/11/2023,240,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/21-11-2023.png,21/11/2023,55,0
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/22-11-2023.png,22/11/2023,85,13
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/23-11-2023.png,23/11/2023,245,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/24-11-2023.png,24/11/2023,275,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/25-11-2023.png,25/11/2023,240,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/26-11-2023.png,26/11/2023,300,0
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/27-11-2023.png,27/11/2023,65,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/28-11-2023.png,28/11/2023,50,14
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/29-11-2023.png,29/11/2023,70,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/11. Noviembre/30-11-2023.png,30/11/2023,205,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/01-12-2023.png,01/12/2023,235,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/02-12-2023.png,02/12/2023,230,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/03-12-2023.png,03/12/2023,140,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/04-12-2023.png,04/12/2023,85,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/05-12-2023.png,05/12/2023,60,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/06-12-2023.png,06/12/2023,50,20
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/07-12-2023.png,07/12/2023,80,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/08-12-2023.png,08/12/2023,240,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/09-12-2023.png,09/12/2023,290,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/10-12-2023.png,10/12/2023,45,24
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/11-12-2023.png,11/12/2023,100,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/12-12-2023.png,12/12/2023,90,9
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/13-12-2023.png,13/12/2023,80,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/14-12-2023.png,14/12/2023,75,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/15-12-2023.png,15/12/2023,60,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/16-12-2023.png,16/12/2023,55,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/17-12-2023.png,17/12/2023,60,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/18-12-2023.png,18/12/2023,65,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/19-12-2023.png,19/12/2023,90,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/20-12-2023.png,20/12/2023,105,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/21-12-2023.png,21/12/2023,95,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/22-12-2023.png,22/12/2023,105,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/23-12-2023.png,23/12/2023,175,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/24-12-2023.png,24/12/2023,220,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/25-12-2023.png,25/12/2023,215,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/26-12-2023.png,26/12/2023,220,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/27-12-2023.png,27/12/2023,280,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/28-12-2023.png,28/12/2023,5,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/29-12-2023.png,29/12/2023,160,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/30-12-2023.png,30/12/2023,90,12
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/12. Diciembre/31-12-2023.png,31/12/2023,200,3
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/01-02-2023.png,01/02/2023,100,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/02-02-2023.png,02/02/2023,75,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/03-02-2023.png,03/02/2023,55,16
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/04-02-2023.png,04/02/2023,75,10
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/05-02-2023.png,05/02/2023,115,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/06-02-2023.png,06/02/2023,90,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/07-02-2023.png,07/02/2023,215,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/08-02-2023.png,08/02/2023,230,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/09-02-2023.png,09/02/2023,105,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/10-02-2023.png,10/02/2023,110,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/11-02-2023.png,11/02/2023,65,18
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/12-02-2023.png,12/02/2023,115,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/13-02-2023.png,13/02/2023,185,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/14-02-2023.png,14/02/2023,220,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/15-02-2023.png,15/02/2023,235,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/16-02-2023.png,16/02/2023,240,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/17-02-2023.png,17/02/2023,85,16
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/18-02-2023.png,18/02/2023,80,15
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/19-02-2023.png,19/02/2023,85,11
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/20-02-2023.png,20/02/2023,100,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/21-02-2023.png,21/02/2023,220,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/22-02-2023.png,22/02/2023,215,6
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/23-02-2023.png,23/02/2023,240,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/24-02-2023.png,24/02/2023,165,2
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/25-02-2023.png,25/02/2023,180,1
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/26-02-2023.png,26/02/2023,220,4
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/27-02-2023.png,27/02/2023,245,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/2. Febrero/28-02-2023.png,28/02/2023,220,5
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/01-03-2023.png,01/03/2023,230,7
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/02-03-2023.png,02/03/2023,245,8
C:/Users/Tacos/OneDrive/Documentos/Universidad/Servicio Social/Imágenes/Corrientes de aire/2023/3. Marzo/03-03-2023.png,03/03/2023,215,7
